City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Victoria,HK,22.2855,114.1577,86.38,77,18,5.99,light rain
200,Lagunas,PE,-5.2269,-75.6753,74.1,95,100,2.98,overcast clouds
201,Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,92,7.0,overcast clouds
202,Xinqing,CN,48.2333,129.5,34.63,85,87,0.58,overcast clouds
203,Lagoa,PT,39.05,-27.9833,71.1,89,8,17.29,clear sky
204,Shchelkun,RU,56.3034,60.9483,38.77,86,22,5.86,few clouds
205,Taoudenni,ML,22.6783,-3.9836,106.29,5,6,13.29,clear sky
206,Zrece,SI,46.3822,15.3792,52.02,92,100,5.75,light rain
207,Roma,US,43.2128,-75.4557,71.83,67,90,0.0,overcast clouds
208,Matagami,CA,49.7502,-77.6328,68.11,52,1,6.91,clear sky
209,Kamaishi,JP,39.2667,141.8833,58.62,85,86,0.4,overcast clouds
210,Coihaique,CL,-45.5752,-72.0662,57.15,19,0,8.05,clear sky
211,Isangel,VU,-19.55,169.2667,73.72,90,16,12.03,few clouds
212,Kaka,TM,37.3482,59.6143,58.21,29,2,3.6,clear sky
213,Kitimat,CA,54.0524,-128.6534,41.38,29,99,1.57,light rain
214,Sitka,US,57.0531,-135.33,42.69,70,20,4.61,few clouds
215,Ban Chang,TH,12.7254,101.0553,82.47,93,75,3.44,broken clouds
216,Cabo San Lucas,MX,22.8909,-109.9124,93.51,54,1,1.01,clear sky
217,Nanakuli,US,21.3906,-158.1547,78.75,71,20,4.61,few clouds
218,Saint-Georges,GD,12.0564,-61.7485,89.28,62,40,18.41,scattered clouds
219,Barra Do Garcas,BR,-15.89,-52.2567,100.98,30,20,5.75,few clouds
220,Dullewala,PK,31.8359,71.4362,92.19,30,5,6.24,clear sky
221,Chokurdakh,RU,70.6333,147.9167,22.89,92,98,10.8,overcast clouds
222,Yerbogachen,RU,61.2767,108.0108,28.0,89,100,12.93,light snow
223,Faanui,PF,-16.4833,-151.75,78.06,68,7,13.44,clear sky
224,Shimoda,JP,34.6667,138.95,66.11,87,96,12.15,overcast clouds
225,Odweyne,SO,9.4092,45.064,82.76,44,92,1.79,overcast clouds
226,Arman,RU,59.7,150.1667,24.73,54,4,6.44,clear sky
227,Kahului,US,20.8947,-156.47,75.22,84,40,13.8,scattered clouds
